字,拼音,IPA,備註
一,yaq5,iʌʔ5,
丁,dieng1,tiəŋ1,
丁,di1,ti1,
七,qiaq5,tɕʰiʌʔ5,
三,sang1,sã1,
下,xia4,ɕia4,
下,ha4,xa4,
丈,zhang4,tʂã4,
丈,zuo4,tsuo̞4,
上,shang4,ʂã4,
上,suo4,suo̞4,
上,ho4,xɔ4,
丑,chou3,tʂʰɤu3,
丐,gae4,kɛ4,
不,baq5,pʌʔ5,
丙,bieng3,piəŋ3,
世,shr4,ʂʅ4,
丕,pi1,pʰi1,
且,qie3,tɕʰie̞3,
丘,qiou1,tɕʰiɤu1,
丞,cheng2,tʂʰəŋ2,
丟,diou1,tiɤu1,
並,bieng4,piəŋ4,
丫,ya1,ia1,
中,zueng1,tsuəŋ1,
串,cuon4,tsʰuõ̞4,
丸,won2,uõ̞2,
凡,huon2,xuõ̞2,
丹,dang1,tã1,
主,zw3,tsʮ3,
乃,nae3,ȵɛ3,
久,jiou3,tɕiɤu3,
么,yo1,iɔ1,
之,zr1,tsɿ1,
尹,yeng3,iəŋ3,
乍,za4,tsa4,
乏,huaq6,xuʌʔ6,
乎,hu2,xu2,
乒,pieng1,pʰiəŋ1,
乓,pa1,pʰa1,
乖,guae1,kuɛ1,
乘,cheng2,tʂʰəŋ2,
乙,yaq5,iʌʔ5,
九,jiou3,tɕiɤu3,
也,ye3,ie̞3,
乞,qiaq5,tɕʰiʌʔ5,
乩,ji1,tɕi1,
乳,zsw3,zʮ3,
乾,gang1,kã1,
亂,luon4,luõ̞4,
了,lio3,liɔ3,
予,yu3,y3,
事,sr4,sɿ4,
二,er4,ər4,
于,yu2,y2,
云,yueng2,yəŋ2,
井,jieng3,tɕiəŋ3,
井,zei3,tsei3,
互,hu4,xu4,
五,wu3,u3,
亙,geng4,kəŋ4,
些,xie1,ɕie̞1,
亞,ya3,ia3,
亟,jiaq5,tɕiʌʔ5,
亡,won2,uõ̞2,
亡,wo2,uo̞2,
交,jio1,tɕiɔ1,
亦,yaq6,iʌʔ6,
亥,hae4,xɛ4,
亨,heng1,xəŋ1,
享,xiang3,ɕiã3,
京,jieng1,tɕiəŋ1,
京,ji1,tɕi1,
亭,tieng2,tʰiəŋ2,
亮,liang4,liã4,
亮,luo4,luo̞4,
人,reng2,ɻəŋ2,
仁,reng2,ɻəŋ2,
什,shaq6,ʂʌʔ6,
仃,dieng1,tiəŋ1,
仆,paq5,pʰʌʔ5,
仇,chou2,tʂʰɤu2,
仍,reng3,ɻəŋ3,
今,jieng1,tɕiəŋ1,
介,jie4,tɕie̞4,
仄,zaq5,tsʌʔ5,
以,yi3,i3,
付,hu4,xu4,
仔,zr3,tsɿ3,
仕,sr4,sɿ4,
他,ta1,tʰa1,
仗,zhang4,tʂã4,
代,dae4,tɛ4,
令,lieng4,liəŋ4,
仙,xie1,ɕie̞1,
仞,reng4,ɻəŋ4,
仿,huon3,xuõ̞3,
仿,huo3,xuo̞3,
伉,kang4,kʰã4,
伙,huo3,xuo̞3,
伙,huei3,xuei3,
伊,yi1,i1,
伕,hu2,xu2,
伍,wu3,u3,
伐,huaq6,xuʌʔ6,
休,xiou1,ɕiɤu1,
伏,huaq6,xuʌʔ6,
